X,Y,Z,Alteration,Cu,Au,Mo,As,Bn,Cp,Cc,Cv,En,Py,Pyr,Mol,Ga,Sph,TS
651360.73,4765500.71,711.04,1,0.47,0.08,86,810,10,0,0,0,0,90,0,0,0,0,60000
651315.87,4765290.66,904.08,1,0.03,0.04,19,50,0,20,0,0,0,80,0,0,0,0,10000
651401.21,4765848.6,741.73,1,2.68,0.22,21,50,50,50,0,0,0,0,0,0,0,0,30000
651231.12,4766406.41,499,1,0.09,0,9.5,203,0,5,0,0,0,95,0,0,0,0,80000
651322.56,4766503.07,528.25,1,-99,-99,-99,-99,0,20,0,0,0,80,0,0,0,0,20000
650923.79,4765379.22,1083.63,1,0.31,0.02,102,-99,0,20,0,0,0,80,0,0,0,0,70000
651203.65,4765470.34,814.79,1,0.59,0.08,25,310,35,20,0,0,0,45,0,0,0,0,20000
651352.74,4765392.18,589.03,1,1.9,0.04,190,50,0,40,0,0,0,60,0,0,0,0,60000
651560.85,4765620.22,397.01,1,2.42,0.47,800,170,30,50,0,0,0,20,0,0,0,0,50000
651313.83,4766507.25,370.55,1,-99,-99,-99,-99,0,40,0,0,0,60,0,0,0,0,30000
651467.01,4765927.61,663.38,1,3.63,0.52,49,110,100,0,0,0,0,0,0,0,0,0,70000
651013.87,4765382.14,932.33,1,-99,-99,-99,-99,0,6,0,0,1,93,0,0,0,0,35000
651431.24,4765626.38,864.76,1,0.13,0,27,200,0,20,0,0,0,80,0,0,0,0,30000
651483.97,4765628.55,490.55,1,1.31,0.06,21,50,0,100,0,0,0,0,0,0,0,0,35000
651239.86,4765558.78,937.31,1,0.74,0.03,42,380,30,10,0,0,20,40,0,0,0,0,30000
651236.59,4765455.5,939.04,1,0.32,0.02,5,50,10,10,0,0,0,80,0,0,0,0,30000
651254.98,4765435.63,990.14,1,0.54,0.06,29,190,0,0,0,0,50,50,0,0,0,0,20000
651342.32,4765511.11,747.33,1,2.79,0.1,56,220,30,29.5,0.5,0,0,40,0,0,0,0,70000
651230.92,4766406.39,445,1,0.08,0.1,9.08,24.3,0,5,0,0,0,95,0,0,0,0,90000
651168,4764778.44,1076.2,1,0.34,0.04,6.8,89.18,0,30,0,0,0,70,0,0,0,0,60000
651318.56,4765528.33,1016.06,1,0,0.02,26,50,0,0,0,0,0,0,0,0,0,0,0
651486.4,4766715.55,251.48,1,0.67,0.04,59,50,0,50,0,0,0,50,0,0,0,0,20000
651432.32,4765647.93,835.95,1,0.41,0,29,480,20,10,0,10,0,60,0,0,0,0,30000
651314.89,4765297.25,891.76,1,0.01,0.02,12,50,0,30,0,0,0,70,0,0,0,0,10000
650546.4,4765469.74,606.38,1,0.04,0.02,60.1,4.2,0,15,0,0,0,85,0,0,0,0,40000
651341.24,4766635.81,304.56,1,-99,-99,-99,-99,30,50,0,0,0,20,0,0,0,0,40000
650583.25,4765471.36,454.81,1,0.19,0.07,25.2,30.5,0,10,0,0,0,90,0,0,0,0,40000
651399.05,4765470.08,696.66,1,2.16,0.07,97,1670,40,10,0,0,0,50,0,0,0,0,60000
651268.21,4765429.99,834.68,1,0.99,0.02,30,50,0,40,0,0,0,60,0,0,0,0,70000
650406.96,4765098.43,950.63,1,0.05,0.02,5.87,11,0,10,0,0,0,89,0,1,0,0,45000
651532.88,4765847.77,616.64,1,1.6,0.05,37,50,50,50,0,0,0,0,0,0,0,0,50000
650684.11,4765345.76,1063.42,1,-99,-99,-99,-99,0,0,0,0,0,100,0,0,0,0,35000
651126.92,4765383.7,1072.86,1,0.01,0.05,18,25,0,0,0,0,0,0,0,0,0,0,0
650611.07,4765753.47,815.41,1,0.15,0.03,84.6,66.2,0,5,0,0,0,95,0,0,0,0,50000
651495.13,4765892.87,774.74,1,1.66,0.05,36,890,0,0,30,15,0,55,0,0,0,0,40000
651336.69,4766653.87,198.18,1,-99,-99,-99,-99,0,15,0,0,0,85,0,0,0,0,10000
651375.08,4766774.96,159.84,1,1.35,0.09,105,50,0,90,0,0,0,10,0,0,0,0,30000
651281.41,4765419.45,794.05,1,1.43,0.02,22,50,25,0,0,0,0,75,0,0,0,0,60000
651497.9,4765752.58,802.23,1,0.02,0.03,5,50,0,0,5,0,0,95,0,0,0,0,50000
650584.17,4765285.85,1073.98,1,-99,-99,-99,-99,0,2,0,0,0,98,0,0,0,0,25000
651543.91,4765507.34,493.03,1,0.63,0,75,150,0,80,0,0,0,20,0,0,0,0,30000
651067.4,4764681.92,1002.71,1,0.39,0.02,65.2,853,0,15,0,0,0,85,0,0,0,0,60000
651372.11,4766661.6,149.5,1,-99,-99,-99,-99,0,5,0,0,0,95,0,0,0,0,10000
650775.95,4765256.3,1033.79,1,-99,-99,-99,-99,0,5,0,0,0,95,0,0,0,0,35000
650923.66,4765267.81,1071.15,1,-99,-99,-99,-99,0,0,0,0,0,100,0,0,0,0,20000
650758.7,4764945.23,1135.08,1,0.08,0.01,34.72,296.4,0,0,100,0,0,0,0,0,0,0,10000
651532.81,4765977.86,429.39,1,0.54,0.04,230,430,0,30,0,0,0,70,0,0,0,0,20000
651130.94,4765573.17,969.78,1,0.47,0.02,40,50,20,0,10,0,0,70,0,0,0,0,30000
651419.21,4765493.19,863.75,1,0.15,0.01,17,50,0,10,0,0,0,90,0,0,0,0,50000
650572.97,4765757.57,916.38,1,0.67,0,5.7,10,0,90,0,0,0,10,0,0,0,0,20000
651376.08,4765322.14,495.7,1,0.87,0.02,115,50,0,70,0,0,0,30,0,0,0,0,25000
651410.6,4765682.25,936.46,1,0,0,21,50,0,0,0,0,0,0,0,0,0,0,0
651352.59,4765480.98,819.56,1,0.53,0.03,13,210,40,0,0,0,10,50,0,0,0,0,40000
651375.42,4765461.27,383.13,1,0.4,0.03,180,1150,10,10,10,20,0,50,0,0,0,0,40000
651307.1,4765494.06,747.04,1,2.21,0.05,16,50,20,70,0,0,0,10,0,0,0,0,40000
651020.78,4765375.35,956.45,1,-99,-99,-99,-99,0,6,0.5,0,0.5,93,0,0,0,0,30000
650889.55,4765953.59,742.3,1,0.3,0.05,23,50,0,20,0,0,0,80,0,0,0,0,20000
651293.38,4765876.54,576.42,1,0.79,0.08,52,670,30,0,0,0,10,60,0,0,0,0,45000
651416.07,4765933.82,838.98,1,1.19,0.05,115,1050,0,50,0,0,0,50,0,0,0,0,40000
651325.94,4765980.58,555.91,1,0.31,0.07,37,50,0,30,0,0,0,70,0,0,0,0,30000
651220.63,4765573.43,871.62,1,0.6,0.08,120,500,20,0,0,0,0,80,0,0,0,0,100000
651844.18,4766190.68,516.6,1,0.78,0,55,160,10,0,10,0,10,70,0,0,0,0,40000
650494.91,4765466.23,848.94,1,-99,-99,-99,-99,0,5,0,0,0,95,0,0,0,0,30000
651242.59,4765237.44,707.92,1,0.53,0.03,230,400,10,30,0,0,0,60,0,0,0,0,50000
651211.08,4765584.03,1016.2,1,0.22,0.01,100,280,10,0,0,0,40,50,0,0,0,0,30000
