Easting,Northing,Elevation,Alteration,Cu,Au,Mo,As,Bn,Cp,Cc,Cv,En,Py,Pyr,Mol,Ga,Sph,TS
651331.66,4766465.17,194.35,3,0.67,0.18,70,50,0,12000,0,0,0,28000,0,0,0,0,40000
651330.64,4766465.2,192.63,3,0.58,0.34,95,50,0,10000,0,0,0,40000,0,0,0,0,50000
651329.62,4766465.22,190.91,3,0.67,0.11,440,50,0,12000,0,0,0,28000,0,0,0,0,40000
651327.58,4766465.28,187.47,3,0.76,0.11,115,50,4000,12000,0,0,0,24000,0,0,0,0,40000
651326.56,4766465.31,185.75,3,1.05,0.1,180,50,0,16000,0,0,0,24000,0,0,0,0,40000
651325.54,4766465.33,184.03,3,0.98,0.13,85,50,0,21000,0,0,0,9000,0,0,0,0,30000
651324.52,4766465.36,182.31,3,0.91,0.21,110,50,0,18000,0,0,0,12000,0,0,0,0,30000
651323.5,4766465.39,180.59,3,0.83,0.27,70,50,0,18000,0,0,0,12000,0,0,0,0,30000
651322.48,4766465.41,178.87,3,0.68,0.34,90,50,0,17500,0,0,0,7500,0,0,0,0,25000
651320.44,4766465.47,175.43,3,0.59,0.11,55,50,0,18000,0,0,0,12000,0,0,0,0,30000
651318.41,4766465.52,171.99,3,0.79,0.09,70,50,0,14000,0,0,0,6000,0,0,0,0,20000
651317.39,4766465.55,170.27,3,0.68,0.14,60,50,0,20000,0,0,0,5000,0,0,0,0,25000
651316.37,4766465.58,168.55,3,0.74,0.09,60,50,0,17500,0,0,0,7500,0,0,0,0,25000
651313.31,4766465.66,163.39,3,0.73,1.5,50,50,0,12000,0,0,0,18000,0,0,0,0,30000
651310.25,4766465.74,158.23,3,1.27,0.6,40,50,0,15000,0,0,0,15000,0,0,0,0,30000
650723.17,4766160.12,395.87,3,0.1,0.03,7.17,15.5,0,500,0,0,0,4500,0,0,0,0,5000
650723.96,4766160.17,394.03,3,0.63,0.34,43,65.7,0,9000,0,0,0,21000,0,0,0,0,30000
650728.7,4766160.44,383.01,3,0.22,0.05,25.5,22.4,0,2000,0,0,0,18000,0,0,0,0,20000
650808.95,4766165.91,199.9,5,0.8,0.47,6.68,3.1,7500,33500,0,0,0,8000,0,1000,0,0,50000
650843.15,4766169.09,125.44,5,0.58,0.31,22.7,2.8,12000,11400,0,0,0,6000,0,600,0,0,30000
650808.13,4766165.84,201.72,5,0.29,0.11,9.56,2.8,800,28000,0,0,0,9200,0,2000,0,0,40000
650884.3,4766173.62,36.62,5,0.78,0.52,11.9,3.1,10500,12000,0,0,0,6900,0,600,0,0,30000
650883.47,4766173.52,38.43,5,0.7,0.38,46.3,2.7,6000,15000,0,0,0,8100,0,900,0,0,30000
650813.07,4766166.26,190.79,5,0.6,0.47,5.91,4.5,5000,29000,0,0,0,15000,0,1000,0,0,50000
650840.62,4766168.82,130.87,5,0.43,0.21,7.56,2.6,7500,9250,0,0,0,7500,0,750,0,0,25000
650842.3,4766169,127.25,5,0.54,0.2,14.65,1.8,7500,9500,0,0,0,7500,0,500,0,0,25000
650882.63,4766173.42,40.25,5,0.61,0.39,18.3,2.6,10500,9900,0,0,0,9000,0,600,0,0,30000
650852.35,4765727.45,221.28,5,0.23,0.04,14.4,2.6,0,10500,0,0,0,4500,0,0,0,0,15000
651230.63,4766406.92,81.01,5,0.8,0.12,18.15,8.9,0,22750,0,1750,0,10500,0,0,0,0,35000
651230.63,4766406.92,79.01,5,0.38,0.07,57.9,4.5,0,22750,0,1750,0,10500,0,0,0,0,35000
651230.63,4766406.92,77.01,5,0.58,0.07,22.1,5.1,0,22750,0,1750,0,10500,0,0,0,0,35000
651230.63,4766406.93,75.01,5,0.46,0.05,29.2,9.7,0,22750,0,1750,0,10500,0,0,0,0,35000
651230.63,4766406.93,73.01,5,0.45,0.05,31.4,3.6,0,22750,0,1750,0,10500,0,0,0,0,35000
650753.31,4766161.94,326.12,3,0.51,0.12,29,7.9,0,12000,0,0,0,18000,0,0,0,0,30000
650754.11,4766161.99,324.29,3,0.43,0.16,18.1,11.5,0,7500,0,0,0,22500,0,0,0,0,30000
650754.91,4766162.03,322.46,3,0.32,0.33,33,46.9,0,13200,0,0,0,26000,0,800,0,0,40000
651230.63,4766406.93,69.01,5,0.48,0.04,27.3,15.4,0,22750,0,1750,0,10500,0,0,0,0,35000
650841.46,4766168.91,129.06,5,0.35,0.17,8.95,2.4,7500,12000,0,0,0,9900,0,600,0,0,30000
650887.65,4766174,29.36,5,0.35,0.21,25,2.6,3750,12500,0,0,0,8250,0,500,0,0,25000
650807.31,4766165.77,203.55,5,0.41,0.26,16.65,3.3,1750,20300,0,0,0,12250,0,700,0,0,35000
650809.78,4766165.98,198.08,5,0.59,0.5,9.23,3.6,4000,27500,0,0,0,17500,0,1000,0,0,50000
651025.88,4766188.04,-278.75,5,1.08,0.08,21.8,3.3,0,18000,0,0,0,10500,0,1500,0,0,30000
650857.48,4766170.61,94.65,5,0.92,0.38,32.1,13.2,12000,12000,0,0,0,15200,0,800,0,0,40000
650858.33,4766170.69,92.84,5,0.85,0.41,45.87,3.76,8000,16000,0,0,0,15200,0,800,0,0,40000
650763.67,4766162.71,302.29,3,0.62,0.33,37.6,99.9,1500,10500,0,0,0,16500,0,1500,0,0,30000
650806.49,4766165.7,205.37,5,0.74,0.25,12,3.7,1500,27500,0,0,0,20000,0,1000,0,0,50000
650895.17,4766174.87,13.03,5,0.75,0.62,24.4,19.8,3000,15000,0,0,0,12000,0,0,0,0,30000
650996.91,4766185.12,-212.9,5,0.77,0.16,624,5.5,0,20000,0,0,0,16000,0,4000,0,0,40000
651000.94,4766185.52,-222.04,5,0.65,0.61,97,7.1,0,15000,0,0,0,12000,0,3000,0,0,30000
650894.33,4766174.78,14.84,5,0.57,0.43,7.15,4.8,6000,16000,0,0,0,18000,0,0,0,0,40000
650826.37,4766167.45,161.71,5,0.8,0.59,10.1,4.1,8000,12000,0,0,0,18800,0,1200,0,0,40000
650855.8,4766170.43,98.27,5,0.5,0.41,50.8,9.3,3000,12000,0,0,0,14100,0,900,0,0,30000
650860.86,4766170.96,87.4,5,0.56,0.29,17.15,1.8,8000,12000,0,0,0,18800,0,1200,0,0,40000
650916,4766177.11,-32.37,5,0.39,0.4,49.7,3.5,1000,9000,0,0,0,9400,0,600,0,0,20000
650745.34,4766161.44,344.46,5,1.03,0.55,60.7,259,2000,18000,0,0,0,20000,0,0,0,0,40000
650777.26,4766163.67,271.14,3,0.42,0.18,108,17.2,0,6000,0,0,0,13000,0,1000,0,0,20000
650778.88,4766163.76,267.48,3,0.49,0.22,50.4,53.6,0,7000,0,0,0,12400,0,600,0,0,20000
