Sample.Number,X,Y,Z,Cu,Au,Mo,As,Cp,Py,TS,Alteration
3899,651329.62,4766465.22,190.91,-0.189,0.669,1.902,-0.07,0.156,0.551,0.632,PHY
3899,651329.62,4766465.22,190.91,-0.218,0.621,1.751,0,0.065,0.38,0.419,PHY
3899,651329.62,4766465.22,190.91,-0.027,0.656,1.88,1.272,0.498,0.902,0.862,PHY
3899,651329.62,4766465.22,190.91,0.125,0.606,2.356,1.2,0.624,0.996,0.985,PHY
3899,651329.62,4766465.22,190.91,-0.147,-0.008,1.62,0.07,0.196,0.708,0.527,PHY
3899,651329.62,4766465.22,190.91,-0.117,0.325,1.523,0.274,0.096,0.711,0.417,PHY
3899,651329.62,4766465.22,190.91,-0.15,0.216,1.82,0.944,0.478,0.596,0.727,PHY
3899,651329.62,4766465.22,190.91,0.092,0.436,2.153,0.136,0.186,0.792,0.503,PHY
3899,651329.62,4766465.22,190.91,-0.059,0.362,1.733,0.666,0.297,0.81,0.623,PHY
3899,651329.62,4766465.22,190.91,-0.136,0.658,2.029,-0.202,0.089,0.446,0.484,PHY
3899,651329.62,4766465.22,190.91,-0.122,0.054,2.124,-0.108,0.362,0.637,0.757,PHY
3899,651329.62,4766465.22,190.91,-0.06,0.566,2.218,1.018,0.605,0.731,0.98,PHY
3899,651329.62,4766465.22,190.91,-0.055,0.203,2.305,0.501,0.504,0.558,0.778,PHY
3899,651329.62,4766465.22,190.91,-0.047,0.484,2.1,0.103,0.187,0.528,0.489,PHY
3899,651329.62,4766465.22,190.91,0.092,0.392,2.125,0.571,0.296,0.765,0.535,PHY
3899,651329.62,4766465.22,190.91,-0.278,0.288,1.811,0.401,0.441,0.584,0.888,PHY
3899,651329.62,4766465.22,190.91,-0.185,0.891,1.764,0.803,0.301,0.598,0.716,PHY
3899,651329.62,4766465.22,190.91,0.036,0.442,2.034,0.292,0.238,0.82,0.59,PHY
3899,651329.62,4766465.22,190.91,-0.239,-0.109,1.384,1.164,0.515,0.72,0.758,PHY
3899,651329.62,4766465.22,190.91,0.284,-0.3,2.62,0.31,0.585,1.146,0.859,PHY
3899,651329.62,4766465.22,190.91,0.063,0.043,2.299,0.401,0.52,0.929,0.878,PHY
3899,651329.62,4766465.22,190.91,0.025,1.077,2.021,0.431,0.115,0.739,0.527,PHY
3899,651329.62,4766465.22,190.91,-0.121,0.458,2.005,0.376,0.342,0.618,0.72,PHY
3899,651329.62,4766465.22,190.91,-0.033,0.299,2.147,0.441,0.413,0.713,0.751,PHY
3899,651329.62,4766465.22,190.91,0.074,0.442,2.513,-0.168,0.296,0.729,0.702,PHY
3899,651329.62,4766465.22,190.91,-0.091,0.152,1.936,0.184,0.301,0.679,0.637,PHY
3899,651329.62,4766465.22,190.91,0,0.118,1.7,0.908,0.415,1.011,0.724,PHY
3899,651329.62,4766465.22,190.91,-0.076,0.526,2.28,0.176,0.368,0.604,0.782,PHY
3899,651329.62,4766465.22,190.91,0.115,0.131,2.127,0.281,0.309,0.931,0.61,PHY
3899,651329.62,4766465.22,190.91,0.044,0.367,2.465,0.879,0.669,0.832,1.028,PHY
3899,651329.62,4766465.22,190.91,-0.014,-0.606,1.847,0.754,0.601,0.952,0.803,PHY
3899,651329.62,4766465.22,190.91,-0.181,0.273,1.953,0.054,0.287,0.525,0.663,PHY
3899,651329.62,4766465.22,190.91,-0.111,0.721,2.019,0.059,0.196,0.637,0.663,PHY
3899,651329.62,4766465.22,190.91,0.115,1.148,2.464,1.079,0.516,0.92,0.977,PHY
3899,651329.62,4766465.22,190.91,-0.143,0.221,1.866,0.167,0.236,0.52,0.529,PHY
3899,651329.62,4766465.22,190.91,-0.262,0.844,1.678,0.351,0.182,0.507,0.646,PHY
3899,651329.62,4766465.22,190.91,-0.128,0.461,2.021,0.209,0.298,0.592,0.69,PHY
3899,651329.62,4766465.22,190.91,0.004,0.328,2.363,0.757,0.599,0.757,0.94,PHY
3899,651329.62,4766465.22,190.91,-0.213,0.588,1.715,0.883,0.414,0.645,0.812,PHY
3899,651329.62,4766465.22,190.91,-0.22,0.577,1.945,0.134,0.247,0.428,0.648,PHY
3899,651329.62,4766465.22,190.91,0.011,0.676,1.916,0.379,0.163,0.792,0.532,PHY
3899,651329.62,4766465.22,190.91,-0.102,0.312,1.816,0.381,0.286,0.724,0.643,PHY
3899,651329.62,4766465.22,190.91,-0.04,0.404,1.675,0.456,0.169,0.804,0.491,PHY
3899,651329.62,4766465.22,190.91,0.007,0.868,2.428,0.136,0.281,0.624,0.719,PHY
3899,651329.62,4766465.22,190.91,0.19,1.112,2.61,0.648,0.388,0.905,0.834,PHY
3899,651329.62,4766465.22,190.91,-0.068,-0.038,2.237,-0.195,0.364,0.647,0.726,PHY
3899,651329.62,4766465.22,190.91,-0.072,-0.085,2.173,0.38,0.579,0.816,0.96,PHY
3899,651329.62,4766465.22,190.91,-0.105,0.35,1.78,-0.013,0.153,0.742,0.569,PHY
3899,651329.62,4766465.22,190.91,-0.098,0.548,1.962,0.686,0.371,0.64,0.712,PHY
3899,651329.62,4766465.22,190.91,-0.045,0.517,2.231,0.618,0.427,0.58,0.734,PHY
12052,650728.7,4766160.44,383.01,-0.58,0.637,-0.227,-0.639,-0.778,0.179,-0.77,PHY
12052,650728.7,4766160.44,383.01,-0.651,0.652,-0.127,-0.861,-0.728,0.13,-0.629,PHY
12052,650728.7,4766160.44,383.01,-0.713,-0.026,-0.227,-0.714,-0.491,0.213,-0.438,PHY
12052,650728.7,4766160.44,383.01,-0.682,0.361,-0.371,0.036,-0.438,0.298,-0.408,PHY
12052,650728.7,4766160.44,383.01,-0.886,-0.204,-0.818,-1.482,-0.835,0.176,-0.694,PHY
12052,650728.7,4766160.44,383.01,-0.681,0.173,-0.345,-0.942,-0.702,0.226,-0.637,PHY
12052,650728.7,4766160.44,383.01,-0.634,0.53,-0.075,-0.931,-0.685,0.195,-0.568,PHY
12052,650728.7,4766160.44,383.01,-0.561,0.224,-0.049,-0.429,-0.594,0.067,-0.738,PHY
