Sample Number,X,Y,Z,Cu,Au,Mo,As,Cp,Py,TS,Alteration,Training
62827,651675.97,4766624.35,414.13,0.83,0.05,5.0,50.0,2.0,0.5,2.5,AAA,2
50028,651249.94,4765229.33,727.01,0.97,0.01,19.0,50.0,0.45,1.65,3.0,AAA,2
25322,650921.02,4765432.82,992.23,0.6,0.06,33.0,100.0,2.4,3.6,6.0,AAA,2
32318,651218.65,4765577.61,819.26,0.64,0.05,305.0,50.0,1.0,0.8,2.0,AAA,2
20928,651322.46,4766503.12,526.25,-99.0,-99.0,-99.0,-99.0,0.4,1.6,2.0,AAA,2
47861,651261.86,4765435.06,855.12,0.87,0.01,27.0,50.0,4.2,1.8,6.0,AAA,2
31578,651286.1,4765451.48,585.71,1.26,0.02,25.0,720.0,1.2,0.8,2.0,AAA,2
66056,651361.61,4765500.21,709.32,1.3,0.16,305.0,980.0,0.0,1.5,3.0,AAA,2
25831,651049.87,4765348.02,1061.09,-99.0,-99.0,-99.0,-99.0,0.25,4.75,5.0,AAA,2
57478,651294.48,4765649.92,941.05,0.97,0.01,41.0,50.0,1.5,2.5,5.0,AAA,2
53292,651521.88,4766116.04,687.27,1.4,0.03,10.0,50.0,3.0,2.0,5.0,AAA,2
34745,651135.19,4765441.35,565.26,0.19,0.04,5.0,50.0,1.0,4.0,5.0,AAA,2
72808,651368.94,4765739.16,464.56,0.47,0.03,225.0,50.0,0.9,2.1,3.0,AAA,2
26304,650436.23,4765383.27,933.91,-99.0,-99.0,-99.0,-99.0,0.1,1.9,2.0,AAA,2
57342,650866.37,4766099.94,952.68,0.01,0.17,42.0,50.0,0.1,0.9,1.0,AAA,2
25028,651126.25,4765427.69,996.65,0.46,0.03,27.0,1750.0,1.25,3.75,5.0,AAA,2
74273,651417.23,4765677.73,954.77,0.0,0.03,5.0,50.0,0.0,0.0,0.0,AAA,2
47882,651274.15,4765425.25,816.18,1.67,0.01,54.0,50.0,0.0,3.6,6.0,AAA,2
33587,651428.29,4765670.27,952.75,0.02,0.01,32.0,50.0,0.0,0.0,0.0,AAA,2
68195,651282.38,4765453.01,863.45,0.99,0.01,36.0,730.0,0.0,2.4,3.0,AAA,2
65964,651281.0,4765545.52,868.4,0.85,0.03,37.0,1050.0,0.0,2.4,4.0,AAA,2
57018,651239.32,4765559.19,935.44,1.0,0.04,17.0,50.0,0.6,0.9,3.0,AAA,2
47903,651286.99,4765415.01,777.52,1.67,0.03,10.0,320.0,0.0,1.6,4.0,AAA,2
31401,651315.59,4765292.54,900.56,0.02,0.01,24.0,50.0,0.2,0.8,1.0,AAA,2
20935,651321.74,4766503.48,512.28,-99.0,-99.0,-99.0,-99.0,0.15,1.35,1.5,AAA,2
31794,651427.72,4765556.42,962.19,0.0,0.04,12.0,50.0,0.0,1.0,1.0,AAA,2
34309,651423.19,4765986.76,475.27,0.62,0.05,58.0,50.0,1.5,1.5,3.0,AAA,2
23375,650493.73,4765097.32,1003.63,0.01,0.02,11.2,21.7,0.1,1.9,2.0,AAA,2
32530,651358.66,4765476.3,432.21,0.26,0.04,63.0,50.0,0.4,1.4,2.0,AAA,2
47906,651288.86,4765413.52,772.02,0.88,0.02,48.0,50.0,0.0,2.4,4.0,AAA,2
55421,651419.41,4766171.6,598.9,1.38,0.07,71.0,50.0,3.6,0.4,4.0,AAA,2
53685,651488.64,4765516.47,788.18,0.08,0.0,16.0,210.0,0.3,2.1,3.0,AAA,2
52274,651199.69,4765081.93,581.29,0.06,0.02,12.0,210.0,0.0,5.0,5.0,AAA,2
42002,651449.25,4766135.33,536.6,1.32,0.11,83.0,50.0,3.5,1.5,5.0,AAA,2
31842,651430.52,4765612.09,884.03,0.01,0.02,5.0,50.0,0.0,2.0,2.0,AAA,2
33284,651421.31,4765821.47,660.47,4.06,0.15,140.0,220.0,1.0,1.0,5.0,AAA,2
13907,650592.17,4765471.6,419.93,0.19,0.0,70.5,802.0,0.6,5.4,6.0,AAA,2
69341,651476.57,4765972.75,489.7,0.31,0.01,230.0,400.0,0.0,2.1,3.0,AAA,2
38029,651001.26,4765291.31,577.25,0.62,0.06,73.0,1120.0,1.5,4.5,6.0,AAA,2
65854,651190.63,4765595.51,1062.61,0.21,0.01,15.0,190.0,0.0,2.0,2.0,AAA,2
76319,651482.09,4765766.42,741.78,1.0,0.02,18.0,230.0,0.0,3.0,5.0,AAA,2
53740,651472.37,4765533.58,680.74,0.77,0.01,42.0,520.0,0.0,2.4,4.0,AAA,2
65945,651264.67,4765554.46,901.52,0.63,0.02,105.0,890.0,0.4,2.0,4.0,AAA,2
26047,650891.45,4765229.51,1038.8,-99.0,-99.0,-99.0,-99.0,0.7,2.8,3.5,AAA,2
49589,651321.9,4765285.32,734.58,0.63,0.01,29.0,50.0,0.6,2.1,3.0,AAA,2
68730,651437.97,4765811.8,751.33,1.28,0.02,100.0,890.0,0.0,3.6,4.5,AAA,2
61220,651864.0,4766166.01,581.27,0.21,0.01,53.0,220.0,0.0,3.6,4.0,AAA,2
25810,651060.44,4765338.81,1100.68,-99.0,-99.0,-99.0,-99.0,0.1,1.9,2.0,AAA,2
66109,651408.2,4765473.02,618.07,1.32,0.03,44.0,50.0,1.0,3.0,5.0,AAA,2
47816,651236.59,4765455.5,939.04,0.32,0.02,5.0,50.0,0.3,2.4,3.0,AAA,2
43026,651679.85,4765514.3,145.99,0.04,0.03,5.0,50.0,0.4,3.6,4.0,AAA,2
29683,651159.29,4765808.09,678.2,0.82,0.13,105.0,53.0,2.4,1.6,4.0,AAA,2
77564,650759.43,4764828.24,1063.42,0.19,0.02,25.13,363.08,0.0,3.2,4.0,AAA,2
47245,651226.24,4765455.49,894.31,0.55,0.02,35.0,290.0,1.2,0.8,2.0,AAA,2
29666,651155.67,4765784.95,702.84,0.47,0.04,86.0,25.0,0.6,2.4,3.0,AAA,2
21670,651308.67,4766532.68,445.03,-99.0,-99.0,-99.0,-99.0,0.225,1.275,1.5,AAA,2
30252,651317.14,4765399.57,918.46,0.76,0.03,25.0,933.0,1.2,2.8,4.0,AAA,2
49232,651361.12,4765256.58,691.36,0.46,0.02,84.0,1280.0,0.0,2.8,4.0,AAA,2
26319,650427.53,4765392.53,906.74,-99.0,-99.0,-99.0,-99.0,0.1,1.9,2.0,AAA,2
48808,651329.92,4765387.91,613.79,4.63,0.06,3730.0,50.0,3.2,4.8,8.0,AAA,2
41975,651462.61,4766126.05,588.09,0.09,0.06,35.0,50.0,1.0,4.0,5.0,AAA,2
25267,650923.89,4765377.22,1087.09,0.42,0.03,184.0,-99.0,1.0,9.0,10.0,AAA,2
33296,651426.53,4765813.89,638.3,1.43,0.07,58.0,110.0,2.1,0.6,3.0,AAA,2
28581,651361.9,4765768.87,636.48,4.0,0.31,160.0,-99.0,0.2,0.4,2.0,AAA,2
49226,651364.46,4765254.17,702.64,0.06,0.02,23.0,50.0,0.0,1.6,2.0,AAA,2
26292,650443.16,4765376.08,955.73,-99.0,-99.0,-99.0,-99.0,0.1,1.9,2.0,AAA,2
77590,650759.59,4764834.79,1011.83,0.37,0.18,29.09,350.25,0.75,4.25,5.0,AAA,2
13673,650489.53,4765465.84,876.42,-99.0,-99.0,-99.0,-99.0,0.175,3.325,3.5,AAA,2
76287,651497.9,4765752.58,802.23,0.02,0.03,5.0,50.0,0.0,4.75,5.0,AAA,2
55464,651426.17,4766168.21,513.23,0.78,0.03,145.0,140.0,2.8,1.2,4.0,AAA,2
34767,651115.22,4765458.41,529.97,0.22,0.03,14.0,50.0,0.8,3.2,4.0,AAA,2
67009,651791.62,4766175.63,583.02,1.09,0.03,26.0,50.0,0.0,2.8,4.0,AAA,2
28938,650899.75,4765678.37,738.43,0.04,0.01,38.0,25.0,0.5,4.5,5.0,AAA,2
32264,651180.49,4765602.28,917.23,1.6,0.07,77.0,820.0,0.0,2.4,3.0,AAA,2
47900,651285.12,4765416.49,783.03,0.92,0.03,115.0,2080.0,0.4,2.8,4.0,AAA,2
31407,651314.75,4765298.19,890.0,0.01,0.03,11.0,50.0,0.1,0.9,1.0,AAA,2
20278,651350.1,4766614.59,436.85,-99.0,-99.0,-99.0,-99.0,0.25,4.75,5.0,AAA,2
35522,651481.31,4765653.86,655.65,1.59,0.02,40.0,50.0,3.6,0.4,4.0,AAA,2
60728,651549.58,4765832.48,684.99,0.35,0.02,34.0,50.0,0.0,7.0,7.0,AAA,2
19308,651341.78,4766633.52,318.36,-99.0,-99.0,-99.0,-99.0,2.0,0.8,4.0,AAA,2
25813,651058.94,4765340.12,1095.02,-99.0,-99.0,-99.0,-99.0,0.25,4.75,5.0,AAA,2
20941,651321.1,4766503.8,500.3,-99.0,-99.0,-99.0,-99.0,0.15,1.35,1.5,AAA,2
53265,651506.33,4766125.14,738.18,1.23,0.02,12.0,50.0,2.2,1.8,4.0,AAA,2
32802,651417.97,4765530.87,807.16,0.63,0.02,27.0,-99.0,0.3,1.8,3.0,AAA,2
46816,651325.15,4765498.56,983.07,0.03,0.01,45.0,50.0,0.3,2.7,3.0,AAA,2
45740,651411.2,4765455.42,738.54,0.95,0.03,70.0,820.0,0.0,2.4,4.0,AAA,2
47982,651333.2,4765371.66,632.83,1.28,0.07,42.0,50.0,1.0,3.0,5.0,AAA,2
26059,650883.66,4765236.51,1017.2,-99.0,-99.0,-99.0,-99.0,0.7,2.8,3.5,AAA,2
28374,651330.66,4765513.03,959.55,0.69,0.0,130.0,510.0,0.3,2.7,3.0,AAA,2
33299,651427.84,4765811.93,632.79,1.5,0.1,23.0,180.0,1.8,1.8,4.5,AAA,2
20944,651320.78,4766503.96,494.31,-99.0,-99.0,-99.0,-99.0,0.15,1.35,1.5,AAA,2
